,Unnamed: 0,Unnamed: 1,24210000100290200001 Погибло лесных насаждений,24210000100290200001 Погибло лесных насаждений.1,24210000100290200001 Погибло лесных насаждений.2,24210000100290200001 Погибло лесных насаждений.3,24210000100290200001 Погибло лесных насаждений.4,24210000100290200001 Погибло лесных насаждений.5,24210000100290200001 Погибло лесных насаждений.6
0,,,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.,2019 г.
83,Республика Бурятия,81000000000.0,5743,14866,80987.99,21296.99,6528,5829.99,7132
84,Забайкальский край,76000000000.0,33654,28618,63232,49272.99,24508,8627,17848
85,Республика Саха (Якутия),98000000000.0,363605,237385,13986.99,1807,8854,10818.99,7671
86,Камчатский край,30000000000.0,299,238,0,0,0,,
87,Приморский край,5000000000.0,300,419,20,362,3931,2042,5
88,Хабаровский край,8000000000.0,9470,0,12128.99,11499,664,967,783
89,Амурская область,10000000000.0,576,3513,30571,777,7584,,1477
90,Магаданская область,44000000000.0,109,147,146,183,0,,
91,Сахалинская область,64000000000.0,64,321,330,6802,4533,145,
92,Еврейская автономная область,99000000000.0,1037,240,245,239,299,508.99,389
93,Чукотский автономный округ,77000000000.0,335,0,0,0,,,
94,Крымский федеральный округ,39.0,,627,,,,,
